1 Day Post Growth Rank,Change in 1 Day Post Growth Rank,Sound Title,Sound Artist,Sound URL,Sound Sodatone ID,Total Post Count,Post Count 1 Day Delta,Post Count 2 Day Delta,Post Count 3 Day Delta,Post Count 7 Day Delta,Post Count 14 Day Delta,Week Over Week Growth,Chances of Reaching 50K Posts,Chances of Reaching 100K Posts,Chances of Reaching 500K Posts,Chances of Reaching 1M posts,5 Day Post Count Growth Rate,7 Day Delta Over Total Posts,7 Day Delta Over 14 Day Delta,3 Day Delta Over 7 Day Delta,2 Day Delta Over 3 Day Delta,1 Day Delta Over 3 Day Delta
57,+3,Myself,Bazzi,https://m.tiktok.com/h5/share/music/6593613168767929089.html?language=en&source=h5_m&u_code=e0ci71m0d48gic&_d=e0ci71m0d48gic&share_music_id=6593613168767929089,31618824,1742833,798.0,1089.0,1715.0,5136.0,9113.0,0.2914256977621323,1.0,1.0,1.0,1.0,0.00041577017777812006,0.0029469260680742215,0.5635904751453967,0.33391744548286606,0.6349854227405248,0.46530612244897956
58,-32,abcdefu,GAYLE,https://m.tiktok.com/h5/share/music/6994724904944568322.html?language=en&source=h5_m&u_code=e0ci26gaf48mjg&_d=e0ci26gaf48mjg&share_music_id=6994724904944568322,414634955,2464710,774.0,2573.0,5358.0,11941.0,33653.0,-0.45002763448784083,1.0,1.0,1.0,1.0,0.0007642132234584076,0.004844789042118545,0.35482720708406384,0.4487061385143623,0.4802164986935424,0.1444568868980963
59,-12,Look Back at It,A Boogie Wit da Hoodie,https://m.tiktok.com/h5/share/music/7047998160362720006.html?language=en&source=h5_m&u_code=e0chllk13h1f5a&_d=e0chllk13h1f5a&share_music_id=7047998160362720006,466342603,34519,758.0,1785.0,3309.0,7963.0,19348.0,-0.30057092665788315,0.671,0.382,0.035,0.016,0.03693418139469412,0.2306845505373852,0.4115670870374199,0.41554690443300263,0.5394378966455122,0.22907222725899062
60,-18,Haunted,Laura Les,https://m.tiktok.com/h5/share/music/7056088620348115718.html?language=en&source=h5_m&u_code=e0chegb1hkjg8m&_d=e0chegb1hkjg8m&share_music_id=7056088620348115718,461072838,30924,754.0,1879.0,3321.0,8686.0,17288.0,0.009765170890490584,0.671,0.382,0.035,0.016,0.04296383135773515,0.2808821627215108,0.5024294308190652,0.3823393967303707,0.5657934357121349,0.22704004817825957
61,-22,Burn Rubber Again,AzChike,https://m.tiktok.com/h5/share/music/6605367881666398981.html?language=en&source=h5_m&u_code=e0chb6a1kk926a&_d=e0chb6a1kk926a&share_music_id=6605367881666398981,96961559,94830,688.0,1753.0,2985.0,9113.0,31623.0,-0.5951577076854732,1.0,0.909,0.035,0.016,0.012859429448682156,0.09609828113466203,0.28817632735667076,0.3275540436738725,0.5872696817420435,0.2304857621440536
62,+610,Viva La Vida,Coldplay,https://m.tiktok.com/h5/share/music/6711209819333724162.html?language=en&source=h5_m&u_code=e0chfdmba2ai0k&_d=e0chfdmba2ai0k&share_music_id=6711209819333724162,10862785,131033,660.0,1349.0,1852.0,3704.0,6969.0,0.13445635528330782,1.0,1.0,0.273,0.13,0.004138496526757121,0.028267688292262255,0.5314966279236619,0.5,0.728401727861771,0.3563714902807775
63,-10,Rules,Killumantii,https://m.tiktok.com/h5/share/music/7058688386927889198.html?language=en&source=h5_m&u_code=e0chh6j77125dm&_d=e0chh6j77125dm&share_music_id=7058688386927889198,462665631,21604,621.0,1466.0,2574.0,6070.0,12572.0,-0.06644109504767763,0.496,0.283,0.035,0.016,0.046273975474268945,0.2809664876874653,0.4828189627744193,0.4240527182866557,0.5695415695415695,0.24125874125874125
64,-1,Riptide,Vance Joy,https://m.tiktok.com/h5/share/music/6704975904373737474.html?language=en&source=h5_m&u_code=e0ci16haddiagf&_d=e0ci16haddiagf&share_music_id=6704975904373737474,4191326,367985,615.0,1225.0,1768.0,3212.0,5985.0,0.1583122971510999,1.0,1.0,0.195,0.299,0.0014152171883368115,0.0087286166555702,0.5366750208855472,0.5504358655043586,0.6928733031674208,0.34785067873303166
65,-11,Neon Guts (feat. Pharrell Williams),Lil Uzi Vert,https://m.tiktok.com/h5/share/music/7043468329537194757.html?language=en&source=h5_m&u_code=e0chhe902jmiig&_d=e0chhe902jmiig&share_music_id=7043468329537194757,448101929,278298,593.0,1368.0,3249.0,6562.0,17908.0,-0.42164639520535874,1.0,1.0,0.172,0.211,0.0036839823035202117,0.02357904117169365,0.36642841188295733,0.49512343797622677,0.42105263157894735,0.18251769775315482
66,+590,Runaway (U & I),Galantis,https://m.tiktok.com/h5/share/music/6739886964650018818.html?language=en&source=h5_m&u_code=e0chcl7gmg6mc6&_d=e0chcl7gmg6mc6&share_music_id=6739886964650018818,263418456,53680,576.0,1136.0,1723.0,4145.0,7063.0,0.42049348869088415,1.0,0.58,0.035,0.016,0.01132084190097729,0.07721684053651266,0.5868611071782529,0.4156815440289505,0.6593151479976784,0.3343006384213581
