1 Day Post Growth Rank,Change in 1 Day Post Growth Rank,Sound Title,Sound Artist,Sound URL,Sound Sodatone ID,Total Post Count,Post Count 1 Day Delta,Post Count 2 Day Delta,Post Count 3 Day Delta,3 Day Post Growth Rank,Change in 3 Day Post Growth Rank,Post Count 7 Day Delta,7 Day Post Growth Rank,Change in 7 Day Post Growth Rank,Post Count 14 Day Delta,Week Over Week Growth,Chances of Reaching 50K Posts,Chances of Reaching 100K Posts,Chances of Reaching 500K Posts,Chances of Reaching 1M posts,5 Day Post Count Growth Rate,7 Day Delta Over Total Posts,7 Day Delta Over 14 Day Delta,3 Day Delta Over 7 Day Delta,2 Day Delta Over 3 Day Delta,1 Day Delta Over 3 Day Delta
609,-75,Wake up In the Sky,Bruno Mars,https://m.tiktok.com/h5/share/music/7060928795217316614.html?language=en&source=h5_m&u_code=e0ci7bh6idhicd&_d=e0ci7bh6idhicd&share_music_id=7060928795217316614,465463411,6553,-1.0,18.0,38.0,0,0,121.0,0,0,643.0,-0.7681992337164751,0.102,0.058,0.035,0.016,0.002611848574237955,0.018464825270868304,0.18818040435458788,0.3140495867768595,0.47368421052631576,-0.02631578947368421
610,-72,Boys,Charli XCX,https://m.tiktok.com/h5/share/music/6952131850315844357.html?language=en&source=h5_m&u_code=e0ci571532k8fj&_d=e0ci571532k8fj&share_music_id=6952131850315844357,392792763,25481,-2.0,17.0,21.0,0,0,142.0,0,0,304.0,-0.12345679012345678,0.496,0.283,0.035,0.016,0.0006286491116402241,0.00557277971822142,0.46710526315789475,0.14788732394366197,0.8095238095238095,-0.09523809523809523
611,-104,nan,nan,https://www.tiktok.com/music/Are-You-Satisfied-6926601510201625350?_r=1&language=en&source=h5_m&u_code=e0chm3l6i0ecl9&_d=e0chm3l6i0ecl9&share_music_id=6926601510201625350,291413358,29274,-6.0,16.0,54.0,0,0,104.0,0,0,75.0,-4.586206896551724,0.496,0.283,0.035,0.016,0.000472078926123044,0.003552640568422491,1.3866666666666667,0.5192307692307693,0.2962962962962963,-0.1111111111111111
612,-151,20 Min,Lil Uzi Vert,https://m.tiktok.com/h5/share/music/6704931652797204481.html?language=en&source=h5_m&u_code=e0ci5agcc2keda&_d=e0ci5agcc2keda&share_music_id=6704931652797204481,229359293,11403,-8.0,20.0,25.0,0,0,80.0,0,0,269.0,-0.5767195767195767,0.303,0.174,0.035,0.016,0.0010548708662247931,0.00701569762343243,0.29739776951672864,0.3125,0.8,-0.32
613,+77,Marry You,Bruno Mars,https://m.tiktok.com/h5/share/music/6922256995198290693.html?language=en&source=h5_m&u_code=e0ci0kb5ilg859&_d=e0ci0kb5ilg859&share_music_id=6922256995198290693,294919229,42633,-8.0,-21.0,-38.0,0,0,241.0,0,0,966.0,-0.6675862068965517,0.82,0.478,0.035,0.016,0.0009299835139285825,0.005652897989820093,0.2494824016563147,-0.15767634854771784,0.5526315789473685,0.21052631578947367
614,-229,Neon Guts (feat. Pharrell Williams),Lil Uzi Vert,https://www.tiktok.com/music/neon-guts-7038630601955904262?_r=1&language=en&source=h5_m&u_code=e0ci73mk862mic&_d=e0ci73mk862mic&share_music_id=7038630601955904262,445611775,204926,-10.0,31.0,-135.0,0,0,400.0,0,0,842.0,-0.09502262443438914,1.0,1.0,0.172,0.211,0.0004540842682749388,0.0019519241091906347,0.4750593824228028,-0.3375,-0.22962962962962963,0.07407407407407407
615,-350,Take You To Hell,Ava Max,https://www.tiktok.com/music/Take-You-To-Hell-7000720408983243547?_r=1&language=en&source=h5_m&u_code=e0ci2fbj0h1822&_d=e0ci2fbj0h1822&share_music_id=7000720408983243547,424245674,819763,-14.0,62.0,342.0,0,0,1729.0,0,0,1037.0,-3.4985549132947975,1.0,1.0,1.0,0.78,0.00027582893919119144,0.0021091461800544792,1.6673095467695276,0.1978021978021978,0.18128654970760233,-0.04093567251461988
616,+57,Still Think About You,A Boogie Wit da Hoodie,https://www.tiktok.com/music/still-think-ab-u-by-aboogie-7003318777777523461?_r=1&language=en&source=h5_m&u_code=e0ci4j075ghck6&_d=e0ci4j075ghck6&share_music_id=7003318777777523461,422491067,12117,-15.0,-14.0,-14.0,0,0,187.0,0,0,784.0,-0.6867671691792295,0.303,0.174,0.035,0.016,0.0016042073231237089,0.015432862919864654,0.2385204081632653,-0.0748663101604278,1.0,1.0714285714285714
617,+77,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,https://www.tiktok.com/music/original-sound-%EC%95%84%ED%8B%B0%EB%8B%88-%EB%A7%90%EB%A0%88%EC%9D%B4%EC%8B%9C%EC%95%84-7018587587824618266?_r=1&language=en&source=h5_m&u_code=e0chhkfg0316h4&_d=e0chhkfg0316h4&share_music_id=7018587587824618266,440145338,20715,-18.0,-55.0,78.0,0,0,169.0,0,0,414.0,-0.31020408163265306,0.496,0.283,0.035,0.016,0.000512542792487793,0.008158339367608014,0.4082125603864734,0.46153846153846156,-0.7051282051282052,-0.23076923076923078
618,+35,7AM,Lil Uzi Vert,https://www.tiktok.com/music/original-sound-pretty-bo%C3%BF-yoni-6998748759215655682?_r=1&language=en&source=h5_m&u_code=e0chfdmba2ai0k&_d=e0chfdmba2ai0k&share_music_id=6998748759215655682,416175872,35711,-23.0,-17.0,-37.0,0,0,417.0,0,0,647.0,0.8130434782608695,0.671,0.382,0.035,0.016,0.0011880611066901697,0.011677074290834756,0.6445131375579598,-0.08872901678657075,0.4594594594594595,0.6216216216216216
