1 Day Song Growth Rank,Change in 1 Day Song Growth Rank,1 Day Video Count Change,Song Title,Song Artist,Aggregate Video Count,Change in Video Count over Past 7 Days,Aggregate Video Views,Aggregate Video Engagements,Aggregate Sound Count,Top Performing Sound URLs
21,+16,1696.0,Here's Your Perfect,Jamie Miller,1507400.0,11019.0,4411023707.0,531150234.0,461.0,"['https://www.tiktok.com/music/Here%27s-Your-Perfect-6955798732885460993?_r=1&language=en&source=h5_m&u_code=e0chj3e2926330&_d=e0chj3e2926330&share_music_id=6955798732885460993', 'https://www.tiktok.com/music/suara-asli-Die-6992408484046244634?_r=1&language=en&source=h5_m&u_code=e0chf1aj112am1&_d=e0chf1aj112am1&share_music_id=6992408484046244634', 'https://m.tiktok.com/h5/share/music/6968150712870128386.html?language=en&source=h5_m&u_code=e0ci6jeeh370ej&_d=e0ci6jeeh370ej&share_music_id=6968150712870128386']"
22,+4,1600.0,Locked out of Heaven,Bruno Mars,1618965.0,9340.0,4427046819.0,641266964.0,166.0,"['https://www.tiktok.com/music/Locked-out-of-Heaven-6704976866073151490?_r=1&language=en&source=h5_m&u_code=e0chlbc685h15f&_d=e0chlbc685h15f&share_music_id=6704976866073151490', 'https://www.tiktok.com/music/sonido-original-7042750898057104134?_r=1&language=en&source=h5_m&u_code=e0chflj11bf1d4&_d=e0chflj11bf1d4&share_music_id=7042750898057104134', 'https://m.tiktok.com/h5/share/music/7041766838681881350.html?language=en&source=h5_m&u_code=e0ci20he9h9m7l&_d=e0ci20he9h9m7l&share_music_id=7041766838681881350']"
23,+11,1446.0,Cheap Thrills,Sia,428393.0,9702.0,1513110687.0,124220585.0,53.0,"['https://www.tiktok.com/music/Cheap-Thrills-Sia-Sean-Paul-6649545529443388174?_r=1&language=en&source=h5_m&u_code=e0chfkg6j866cb&_d=e0chfkg6j866cb&share_music_id=6649545529443388174', 'https://m.tiktok.com/h5/share/music/113436801.html?language=en&source=h5_m&u_code=e0ci0e57ki8jam&_d=e0ci0e57ki8jam&share_music_id=113436801', 'https://m.tiktok.com/h5/share/music/6699253420135566086.html?language=en&source=h5_m&u_code=e0chf6k6m0i9if&_d=e0chf6k6m0i9if&share_music_id=6699253420135566086']"
24,+16,1294.0,Island In The Sun,Weezer,334360.0,7380.0,1179708188.0,140386042.0,84.0,"['https://m.tiktok.com/h5/share/music/6826761248797886465.html?language=en&source=h5_m&u_code=e0chek1043c2f3&_d=e0chek1043c2f3&share_music_id=6826761248797886465', 'https://m.tiktok.com/h5/share/music/273719465375350784.html?language=en&source=h5_m&u_code=e0ci4fj10dd2eg&_d=e0ci4fj10dd2eg&share_music_id=273719465375350784', 'https://m.tiktok.com/h5/share/music/6997173558602468101.html?language=en&source=h5_m&u_code=e0chdi3m1ef9cc&_d=e0chdi3m1ef9cc&share_music_id=6997173558602468101']"
25,+19,1138.0,Rules,Killumantii,563419.0,11738.0,411072830.0,79305381.0,4.0,"['https://m.tiktok.com/h5/share/music/6548796201171424271.html?language=en&source=h5_m&u_code=e0chj3e2926330&_d=e0chj3e2926330&share_music_id=6548796201171424271', 'https://www.tiktok.com/music/another-one-of-my-sounds-that-are-blowing-up-7059793332054149934?_r=1&language=en&source=h5_m&u_code=e0chj9f0lchcg6&_d=e0chj9f0lchcg6&share_music_id=7059793332054149934', 'https://www.tiktok.com/music/original-sound-7043104406279310127?_r=1&language=en&source=h5_m&u_code=e0chfdmba05e2f&_d=e0chfdmba05e2f&share_music_id=7043104406279310127']"
26,+12,1131.0,Heartburn,Wafia,384578.0,9993.0,241386021.0,37489928.0,58.0,"['https://www.tiktok.com/music/woahhh-follow-me-jk-6637067323041647365?_r=1&language=en&source=h5_m&u_code=e0che4ig821a0f&_d=e0che4ig821a0f&share_music_id=6637067323041647365', 'https://www.tiktok.com/music/som-original-7061030409143880454?_r=1&language=en&source=h5_m&u_code=e0chhkl646mj9d&_d=e0chhkl646mj9d&share_music_id=7061030409143880454', 'https://m.tiktok.com/h5/share/music/6553161028857762816.html?language=en&source=h5_m&u_code=e0che1fbdmdc19&_d=e0che1fbdmdc19&share_music_id=6553161028857762816']"
27,+41,1114.0,Truth Hurts,Lizzo,1189300.0,9611.0,2103150879.0,329933558.0,211.0,"['https://m.tiktok.com/h5/share/music/6613132810167257861.html?language=en&source=h5_m&u_code=e0ci2208hl2kjj&_d=e0ci2208hl2kjj&share_music_id=6613132810167257861', 'https://m.tiktok.com/h5/share/music/6546951592552174592.html?language=en&source=h5_m&u_code=e0ci32eccbeab0&_d=e0ci32eccbeab0&share_music_id=6546951592552174592', 'https://m.tiktok.com/h5/share/music/6551008206208898063.html?language=en&source=h5_m&u_code=e0ci57c74a08cm&_d=e0ci57c74a08cm&share_music_id=6551008206208898063']"
28,+17,1105.0,Sweet but Psycho,Ava Max,4185316.0,2846.0,2254506936.0,219054835.0,262.0,"['https://www.tiktok.com/share/music/6612124396851038981?enter_from=h5_t', 'https://m.tiktok.com/h5/share/music/6590960794924484614.html?language=en&source=h5_m&u_code=e0chjfb38h31m2&_d=e0chjfb38h31m2&share_music_id=6590960794924484614', 'https://m.tiktok.com/h5/share/music/6594989243855014657.html?language=en&source=h5_m&u_code=e0ci5jg04gd089&_d=e0ci5jg04gd089&share_music_id=6594989243855014657']"
29,+24,1103.0,I'm Yours,Jason Mraz,247061.0,6791.0,422441052.0,60272681.0,78.0,"['https://m.tiktok.com/h5/share/music/6824568753976576774.html?language=en&source=h5_m&u_code=e0chckl71d04g4&_d=e0chckl71d04g4&share_music_id=6824568753976576774', 'https://www.tiktok.com/music/suara-asli--7059428186803047194?_r=1&language=en&source=h5_m&u_code=e0chmjl98c7adb&_d=e0chmjl98c7adb&share_music_id=7059428186803047194', 'https://m.tiktok.com/h5/share/music/6539484804675539983.html?language=en&source=h5_m&u_code=e0ci0km5653mi3&_d=e0ci0km5653mi3&share_music_id=6539484804675539983']"
30,+13,1088.0,Haunted,Laura Les,185605.0,9328.0,374684024.0,70237218.0,49.0,"['https://www.tiktok.com/music/Haunted-6937573901293144065?_r=1&language=en&source=h5_m&u_code=e0ci7m0m3k607d&_d=e0ci7m0m3k607d&share_music_id=6937573901293144065', 'https://www.tiktok.com/music/som-original-7056088620348115718?_r=1&language=en&source=h5_m&u_code=e0ci42985hfmhf&_d=e0ci42985hfmhf&share_music_id=7056088620348115718', 'https://m.tiktok.com/h5/share/music/6910874593171393282.html?language=en&source=h5_m&u_code=e0ci1ad6j8g237&_d=e0ci1ad6j8g237&share_music_id=6910874593171393282']"
31,-10,1004.0,Angel By The Wings,Sia,18939.0,152.0,41997574.0,7671580.0,8.0,"['https://m.tiktok.com/h5/share/music/6631032147102665478.html?language=en&source=h5_m&u_code=e0chflj11bf1d4&_d=e0chflj11bf1d4&share_music_id=6631032147102665478', 'https://www.tiktok.com/music/sonido-original-6959728165719771910?_r=1&language=en&source=h5_m&u_code=e0chdjc51fgegj&_d=e0chdjc51fgegj&share_music_id=6959728165719771910', 'https://m.tiktok.com/h5/share/music/7065838597429086982.html?language=en&source=h5_m&u_code=e0ci0i6g0kid03&_d=e0ci0i6g0kid03&share_music_id=7065838597429086982']"
32,-1,865.0,Viva La Vida,Coldplay,146232.0,5486.0,273778291.0,32626504.0,19.0,"['https://m.tiktok.com/h5/share/music/6711209819333724162.html?language=en&source=h5_m&u_code=e0chfdmba2ai0k&_d=e0chfdmba2ai0k&share_music_id=6711209819333724162', 'https://m.tiktok.com/h5/share/music/7058146991141948162.html?language=en&source=h5_m&u_code=e0ci1g3gc5f6e8&_d=e0ci1g3gc5f6e8&share_music_id=7058146991141948162', 'https://m.tiktok.com/h5/share/music/5000000001456397844.html?language=en&source=h5_m&u_code=e0chik5e4fac64&_d=e0chik5e4fac64&share_music_id=5000000001456397844']"
33,+16,675.0,Look Back at It,A Boogie Wit da Hoodie,296927.0,7452.0,211974178.0,29442859.0,28.0,"['https://www.tiktok.com/share/music/6652943077688216325?enter_from=h5_t', 'https://m.tiktok.com/h5/share/music/6704959566431389698.html?language=en&source=h5_m&u_code=e0chgmhg05f741&_d=e0chgmhg05f741&share_music_id=6704959566431389698', 'https://m.tiktok.com/h5/share/music/6701293478376196869.html?language=en&source=h5_m&u_code=e0ch9f2637h694&_d=e0ch9f2637h694&share_music_id=6701293478376196869']"
34,+2,656.0,Runaway (U & I),Galantis,54436.0,4266.0,766360855.0,99148542.0,10.0,"['https://m.tiktok.com/h5/share/music/6739886964650018818.html?language=en&source=h5_m&u_code=e0chcl7gmg6mc6&_d=e0chcl7gmg6mc6&share_music_id=6739886964650018818', 'https://m.tiktok.com/h5/share/music/6905918485155646214.html?language=en&source=h5_m&u_code=e0ci36l25eilhj&_d=e0ci36l25eilhj&share_music_id=6905918485155646214', 'https://m.tiktok.com/h5/share/music/7039181613195905794.html?language=en&source=h5_m&u_code=e0chk1m3c998k5&_d=e0chk1m3c998k5&share_music_id=7039181613195905794']"
35,+22,604.0,Narco Trafficante (feat. Percy Keith),Kevin Gates,35684.0,4617.0,13010092.0,2045722.0,6.0,"['https://m.tiktok.com/h5/share/music/7057159435428563759.html?language=en&source=h5_m&u_code=e0ci3gg8alhag5&_d=e0ci3gg8alhag5&share_music_id=7057159435428563759', 'https://m.tiktok.com/h5/share/music/7063571865956059951.html?language=en&source=h5_m&u_code=e0chl97dlb6m8e&_d=e0chl97dlb6m8e&share_music_id=7063571865956059951', 'https://m.tiktok.com/h5/share/music/6704930260816758785.html?language=en&source=h5_m&u_code=e0ci4m7k9j4965&_d=e0ci4m7k9j4965&share_music_id=6704930260816758785']"
36,-1,591.0,See You Again (feat. Charlie Puth),Wiz Khalifa,3517071.0,6022.0,7610028975.0,1047590681.0,400.0,"['https://m.tiktok.com/h5/share/music/222450148143108096.html?language=en&source=h5_m&u_code=e0chia3bbdgm1f&_d=e0chia3bbdgm1f&share_music_id=222450148143108096', 'https://www.tiktok.com/share/music/6411017160293878529?enter_from=h5_t', 'https://m.tiktok.com/h5/share/music/6704983897970575361.html?language=en&source=h5_m&u_code=e0ci7ae5hbc2il&_d=e0ci7ae5hbc2il&share_music_id=6704983897970575361']"
37,-17,587.0,Yellow,Coldplay,1471849.0,12543.0,5929342629.0,1022113072.0,136.0,"['https://www.tiktok.com/music/my-audio-yellow-6897847645717482241?_r=1&language=en&source=h5_m&u_code=e0ci31k7fd1593&_d=e0ci31k7fd1593&share_music_id=6897847645717482241', 'https://m.tiktok.com/h5/share/music/6711175901217818626.html?language=en&source=h5_m&u_code=e0chf456lch5fk&_d=e0chf456lch5fk&share_music_id=6711175901217818626', 'https://m.tiktok.com/h5/share/music/6938767787179543297.html?language=en&source=h5_m&u_code=e0chmkke09kge0&_d=e0chmkke09kge0&share_music_id=6938767787179543297']"
38,+12,537.0,Love Faces,Trey Songz,16749.0,2497.0,14021148.0,2715858.0,12.0,"['https://m.tiktok.com/h5/share/music/6525193357520540687.html?language=en&source=h5_m&u_code=e0ci3d5jf21e3g&_d=e0ci3d5jf21e3g&share_music_id=6525193357520540687', 'https://m.tiktok.com/h5/share/music/6896981514278406145.html?language=en&source=h5_m&u_code=e0ci1mm1dai96f&_d=e0ci1mm1dai96f&share_music_id=6896981514278406145', 'https://m.tiktok.com/h5/share/music/6536706225734685696.html?language=en&source=h5_m&u_code=e0ci46if6m61cf&_d=e0ci46if6m61cf&share_music_id=6536706225734685696']"
39,+2,500.0,Hero (feat. Christina Perri),Cash Cash,627644.0,10963.0,3020752733.0,363090968.0,437.0,"['https://m.tiktok.com/h5/share/music/6586163630444645122.html?language=en&source=h5_m&u_code=e0chiigd2a1d0m&_d=e0chiigd2a1d0m&share_music_id=6586163630444645122', 'https://www.tiktok.com/music/keyennn-6984300289117522714?_r=1&language=en&source=h5_m&u_code=e0ci0204mk2b1a&_d=e0ci0204mk2b1a&share_music_id=6984300289117522714', 'https://m.tiktok.com/h5/share/music/6979089775093435137.html?language=en&source=h5_m&u_code=e0chhe902k2bh9&_d=e0chhe902k2bh9&share_music_id=6979089775093435137']"
40,+77,480.0,Talking to the Moon,Bruno Mars,1970779.0,1705.0,7740891700.0,1074285039.0,225.0,"['https://www.tiktok.com/music/talking-to-the-moon-x-play-date-xxtristanxo-6945575597045254918?_r=1&language=en&source=h5_m&u_code=e0ci1gma7elige&_d=e0ci1gma7elige&share_music_id=6945575597045254918', 'https://www.tiktok.com/music/talking-to-the-moon-x-play-date-xxtristanxo-6945575597045254918?_r=1&language=en&source=h5_m&u_code=e0ci1gma7elige&_d=e0ci1gma7elige&share_music_id=6945575597045254918', 'https://m.tiktok.com/h5/share/music/6705031665275652097.html?language=en&source=h5_m&u_code=e0chb9imcch4lm&_d=e0chb9imcch4lm&share_music_id=6705031665275652097']"
41,+21,395.0,A Sky Full of Stars,Coldplay,146632.0,2929.0,343447014.0,37624258.0,10.0,"['https://m.tiktok.com/h5/share/music/6705040738570225666.html?language=en&source=h5_m&u_code=e0ci87agkhf8ga&_d=e0ci87agkhf8ga&share_music_id=6705040738570225666', 'https://www.tiktok.com/music/A-Sky-Full-of-Stars-637?enter_from=h5_t&source=h5_t', 'https://m.tiktok.com/h5/share/music/6995277383024872198.html?language=en&source=h5_m&u_code=e0chhe902k2bh9&_d=e0chhe902k2bh9&share_music_id=6995277383024872198']"
42,+42,368.0,Kings & Queens,Ava Max,929317.0,1086.0,3025042022.0,392288323.0,182.0,"['https://m.tiktok.com/h5/share/music/6802140736629278722.html?language=en&source=h5_m&u_code=e0chl9kiaib1mk&_d=e0chl9kiaib1mk&share_music_id=6802140736629278722', 'https://m.tiktok.com/h5/share/music/6830553744153807622.html?language=en&source=h5_m&u_code=e0ci6he09j8ldm&_d=e0ci6he09j8ldm&share_music_id=6830553744153807622', 'https://m.tiktok.com/h5/share/music/6924866031743765253.html?language=en&source=h5_m&u_code=e0ci36jg712gdi&_d=e0ci36jg712gdi&share_music_id=6924866031743765253']"
